1, layerforward, 8192, 1312434,
0, bpnnCPU, 8192, 9583,
1, adjust_weights, 8192, 1225862
T, ,8192, ,5893596
1, layerforward, 9216, 1310326,
0, bpnnCPU, 9216, 9162,
1, adjust_weights, 9216, 1209596
T, ,9216, ,5932586
1, layerforward, 10240, 1300296,
0, bpnnCPU, 10240, 25367,
1, adjust_weights, 10240, 902461
T, ,10240, ,5672342
1, layerforward, 11264, 1294779,
0, bpnnCPU, 11264, 6326,
1, adjust_weights, 11264, 1196078
T, ,11264, ,6029043
1, layerforward, 12288, 1285547,
0, bpnnCPU, 12288, 9090,
1, adjust_weights, 12288, 1152338
T, ,12288, ,6014243
1, layerforward, 13312, 1282309,
0, bpnnCPU, 13312, 6560,
1, adjust_weights, 13312, 1141726
T, ,13312, ,5455983
1, layerforward, 14336, 1269363,
0, bpnnCPU, 14336, 9109,
1, adjust_weights, 14336, 1121413
T, ,14336, ,6104431
1, layerforward, 15360, 1259786,
0, bpnnCPU, 15360, 9508,
1, adjust_weights, 15360, 1104174
T, ,15360, ,6113052
1, layerforward, 16384, 670370,
0, bpnnCPU, 16384, 9203,
1, adjust_weights, 16384, 1108059
T, ,16384, ,4821653
1, layerforward, 17408, 762529,
0, bpnnCPU, 17408, 9418,
1, adjust_weights, 17408, 835291
T, ,17408, ,4568737
1, layerforward, 18432, 768592,
0, bpnnCPU, 18432, 11507,
1, adjust_weights, 18432, 1105813
T, ,18432, ,4893114
1, layerforward, 19456, 756358,
0, bpnnCPU, 19456, 9459,
1, adjust_weights, 19456, 1089486
T, ,19456, ,4932836
1, layerforward, 20480, 735051,
0, bpnnCPU, 20480, 9361,
1, adjust_weights, 20480, 1077724
T, ,20480, ,4966623
1, layerforward, 21504, 715228,
0, bpnnCPU, 21504, 9237,
1, adjust_weights, 21504, 1059009
T, ,21504, ,5017391
1, layerforward, 22528, 712000,
0, bpnnCPU, 22528, 8430,
1, adjust_weights, 22528, 1057099
T, ,22528, ,5069801
1, layerforward, 23552, 703585,
0, bpnnCPU, 23552, 6481,
1, adjust_weights, 23552, 1026017
T, ,23552, ,5101302
1, layerforward, 24576, 1314716,
0, bpnnCPU, 24576, 9843,
1, adjust_weights, 24576, 988022
T, ,24576, ,5755246
1, layerforward, 25600, 685990,
0, bpnnCPU, 25600, 9099,
1, adjust_weights, 25600, 976926
T, ,25600, ,5182227
1, layerforward, 26624, 681544,
0, bpnnCPU, 26624, 9085,
1, adjust_weights, 26624, 951671
T, ,26624, ,5202086
1, layerforward, 27648, 666947,
0, bpnnCPU, 27648, 9437,
1, adjust_weights, 27648, 952508
T, ,27648, ,5251322
1, layerforward, 28672, 669453,
0, bpnnCPU, 28672, 9238,
1, adjust_weights, 28672, 934967
T, ,28672, ,5287764
1, layerforward, 29696, 665153,
0, bpnnCPU, 29696, 8983,
1, adjust_weights, 29696, 910791
T, ,29696, ,5349698
1, layerforward, 30720, 629993,
0, bpnnCPU, 30720, 9667,
1, adjust_weights, 30720, 900084
T, ,30720, ,5352047
1, layerforward, 31744, 648551,
0, bpnnCPU, 31744, 8983,
1, adjust_weights, 31744, 880197
T, ,31744, ,5451482
1, layerforward, 32768, 639498,
0, bpnnCPU, 32768, 8981,
1, adjust_weights, 32768, 892516
T, ,32768, ,5501004
1, layerforward, 33792, 622213,
0, bpnnCPU, 33792, 9035,
1, adjust_weights, 33792, 850669
T, ,33792, ,5526005
1, layerforward, 34816, 575590,
0, bpnnCPU, 34816, 9190,
1, adjust_weights, 34816, 839502
T, ,34816, ,5550247
1, layerforward, 35840, 587018,
0, bpnnCPU, 35840, 10006,
1, adjust_weights, 35840, 836198
T, ,35840, ,5608483
1, layerforward, 36864, 1132396,
0, bpnnCPU, 36864, 6836,
1, adjust_weights, 36864, 802472
T, ,36864, ,6151750
1, layerforward, 37888, 544218,
0, bpnnCPU, 37888, 9525,
1, adjust_weights, 37888, 813941
T, ,37888, ,5693604
1, layerforward, 38912, 521106,
0, bpnnCPU, 38912, 9549,
1, adjust_weights, 38912, 740670
T, ,38912, ,5710174
1, layerforward, 39936, 531137,
0, bpnnCPU, 39936, 9290,
1, adjust_weights, 39936, 759695
T, ,39936, ,5024447
1, layerforward, 8192, 1312238,
0, bpnnCPU, 8192, 9305,
1, adjust_weights, 8192, 1223940
T, ,8192, ,5642427
1, layerforward, 9216, 1306142,
0, bpnnCPU, 9216, 10735,
1, adjust_weights, 9216, 1207663
T, ,9216, ,5942769
1, layerforward, 10240, 1299616,
0, bpnnCPU, 10240, 9130,
1, adjust_weights, 10240, 1184989
T, ,10240, ,5969421
1, layerforward, 11264, 1294002,
0, bpnnCPU, 11264, 9289,
1, adjust_weights, 11264, 1181672
T, ,11264, ,5302400
1, layerforward, 12288, 1284704,
0, bpnnCPU, 12288, 8682,
1, adjust_weights, 12288, 1164048
T, ,12288, ,6031203
1, layerforward, 13312, 1277781,
0, bpnnCPU, 13312, 9121,
1, adjust_weights, 13312, 1141174
T, ,13312, ,6064522
1, layerforward, 14336, 1270772,
0, bpnnCPU, 14336, 9477,
1, adjust_weights, 14336, 1122985
T, ,14336, ,6095310
1, layerforward, 15360, 1263379,
0, bpnnCPU, 15360, 8736,
1, adjust_weights, 15360, 1097827
T, ,15360, ,6086744
1, layerforward, 16384, 676729,
0, bpnnCPU, 16384, 8788,
1, adjust_weights, 16384, 1126582
T, ,16384, ,4833309
1, layerforward, 17408, 787208,
0, bpnnCPU, 17408, 9171,
1, adjust_weights, 17408, 1098225
T, ,17408, ,4867355
1, layerforward, 18432, 767624,
0, bpnnCPU, 18432, 9331,
1, adjust_weights, 18432, 1090043
T, ,18432, ,4886084
1, layerforward, 19456, 705272,
0, bpnnCPU, 19456, 9281,
1, adjust_weights, 19456, 1071232
T, ,19456, ,4914765
1, layerforward, 20480, 736980,
0, bpnnCPU, 20480, 9227,
1, adjust_weights, 20480, 1068565
T, ,20480, ,4990307
1, layerforward, 21504, 725617,
0, bpnnCPU, 21504, 6733,
1, adjust_weights, 21504, 1051538
T, ,21504, ,5014886
1, layerforward, 22528, 713398,
0, bpnnCPU, 22528, 8750,
1, adjust_weights, 22528, 1008652
T, ,22528, ,5039411
1, layerforward, 23552, 709446,
0, bpnnCPU, 23552, 10912,
1, adjust_weights, 23552, 1026447
T, ,23552, ,5102414
1, layerforward, 24576, 696507,
0, bpnnCPU, 24576, 6918,
1, adjust_weights, 24576, 1006555
T, ,24576, ,5114948
1, layerforward, 25600, 1329597,
0, bpnnCPU, 25600, 8910,
1, adjust_weights, 25600, 983411
T, ,25600, ,5858494
1, layerforward, 26624, 673511,
0, bpnnCPU, 26624, 9321,
1, adjust_weights, 26624, 967528
T, ,26624, ,5226588
1, layerforward, 27648, 528480,
0, bpnnCPU, 27648, 10074,
1, adjust_weights, 27648, 954213
T, ,27648, ,5240956
1, layerforward, 28672, 634503,
0, bpnnCPU, 28672, 9382,
1, adjust_weights, 28672, 933427
T, ,28672, ,5295848
1, layerforward, 29696, 670382,
0, bpnnCPU, 29696, 11576,
1, adjust_weights, 29696, 918460
T, ,29696, ,5352809
1, layerforward, 30720, 645198,
0, bpnnCPU, 30720, 9539,
1, adjust_weights, 30720, 889541
T, ,30720, ,5368474
1, layerforward, 31744, 644388,
0, bpnnCPU, 31744, 9701,
1, adjust_weights, 31744, 876813
T, ,31744, ,5422218
1, layerforward, 32768, 635290,
0, bpnnCPU, 32768, 9304,
1, adjust_weights, 32768, 874071
T, ,32768, ,5488777
1, layerforward, 33792, 587272,
0, bpnnCPU, 33792, 9137,
1, adjust_weights, 33792, 856719
T, ,33792, ,5495522
1, layerforward, 34816, 579912,
0, bpnnCPU, 34816, 9210,
1, adjust_weights, 34816, 839583
T, ,34816, ,5500460
1, layerforward, 35840, 595462,
0, bpnnCPU, 35840, 9335,
1, adjust_weights, 35840, 822321
T, ,35840, ,5521280
1, layerforward, 36864, 583720,
0, bpnnCPU, 36864, 9191,
1, adjust_weights, 36864, 799409
T, ,36864, ,5633511
1, layerforward, 37888, 577057,
0, bpnnCPU, 37888, 9075,
1, adjust_weights, 37888, 800778
T, ,37888, ,5678211
1, layerforward, 38912, 485515,
0, bpnnCPU, 38912, 9373,
1, adjust_weights, 38912, 789553
T, ,38912, ,5643885
1, layerforward, 39936, 532266,
0, bpnnCPU, 39936, 9031,
1, adjust_weights, 39936, 737516
T, ,39936, ,5672439
1, layerforward, 40960, 507019,
0, bpnnCPU, 40960, 9119,
1, adjust_weights, 40960, 730256
T, ,40960, ,5721987
1, layerforward, 41984, 517706,
0, bpnnCPU, 41984, 9530,
1, adjust_weights, 41984, 705239
T, ,41984, ,5815952
1, layerforward, 43008, 508909,
0, bpnnCPU, 43008, 6547,
1, adjust_weights, 43008, 689536
T, ,43008, ,5813630
1, layerforward, 44032, 468216,
0, bpnnCPU, 44032, 11826,
1, adjust_weights, 44032, 676943
T, ,44032, ,5830051
1, layerforward, 45056, 476761,
0, bpnnCPU, 45056, 8981,
1, adjust_weights, 45056, 669858
T, ,45056, ,5907258
1, layerforward, 46080, 442447,
0, bpnnCPU, 46080, 8888,
1, adjust_weights, 46080, 641481
T, ,46080, ,5867557
1, layerforward, 47104, 457426,
0, bpnnCPU, 47104, 9230,
1, adjust_weights, 47104, 635838
T, ,47104, ,5936329
1, layerforward, 48128, 462929,
0, bpnnCPU, 48128, 11746,
1, adjust_weights, 48128, 538297
T, ,48128, ,5925628
1, layerforward, 49152, 445352,
0, bpnnCPU, 49152, 9405,
1, adjust_weights, 49152, 570284
T, ,49152, ,5971098
1, layerforward, 50176, 430256,
0, bpnnCPU, 50176, 9203,
1, adjust_weights, 50176, 581343
T, ,50176, ,6087662
1, layerforward, 51200, 388061,
0, bpnnCPU, 51200, 9208,
1, adjust_weights, 51200, 583165
T, ,51200, ,6049973
1, layerforward, 52224, 391164,
0, bpnnCPU, 52224, 9436,
1, adjust_weights, 52224, 527710
T, ,52224, ,6090835
1, layerforward, 53248, 369142,
0, bpnnCPU, 53248, 9666,
1, adjust_weights, 53248, 1639360
T, ,53248, ,7281591
1, layerforward, 54272, 319409,
0, bpnnCPU, 54272, 9817,
1, adjust_weights, 54272, 541655
T, ,54272, ,6136091
1, layerforward, 55296, 353966,
0, bpnnCPU, 55296, 9055,
1, adjust_weights, 55296, 990083
T, ,55296, ,6707760
1, layerforward, 56320, 356482,
0, bpnnCPU, 56320, 10077,
1, adjust_weights, 56320, 1015480
T, ,56320, ,6789775
1, layerforward, 57344, 359428,
0, bpnnCPU, 57344, 9603,
