1, layerforward, 8192, 1319352,
0, bpnnCPU, 8192, 18403,
1, adjust_weights, 8192, 1234062
T, ,8192, ,5915541
1, layerforward, 9216, 1316071,
0, bpnnCPU, 9216, 11002,
1, adjust_weights, 9216, 1219559
T, ,9216, ,5967065
1, layerforward, 10240, 1303374,
0, bpnnCPU, 10240, 10896,
1, adjust_weights, 10240, 1198043
T, ,10240, ,5969631
1, layerforward, 11264, 1296025,
0, bpnnCPU, 11264, 6411,
1, adjust_weights, 11264, 1184526
T, ,11264, ,6002482
1, layerforward, 12288, 1288923,
0, bpnnCPU, 12288, 9450,
1, adjust_weights, 12288, 1161681
T, ,12288, ,6060172
1, layerforward, 13312, 1280255,
0, bpnnCPU, 13312, 8938,
1, adjust_weights, 13312, 850086
T, ,13312, ,5773781
1, layerforward, 14336, 1275187,
0, bpnnCPU, 14336, 8635,
1, adjust_weights, 14336, 1100955
T, ,14336, ,6083930
1, layerforward, 15360, 1267404,
0, bpnnCPU, 15360, 8677,
1, adjust_weights, 15360, 1105365
T, ,15360, ,6122011
1, layerforward, 16384, 680619,
0, bpnnCPU, 16384, 6755,
1, adjust_weights, 16384, 1126381
T, ,16384, ,4822568
1, layerforward, 17408, 785986,
0, bpnnCPU, 17408, 6358,
1, adjust_weights, 17408, 1116386
T, ,17408, ,4861665
1, layerforward, 18432, 751826,
0, bpnnCPU, 18432, 6613,
1, adjust_weights, 18432, 1105048
T, ,18432, ,4941569
1, layerforward, 19456, 753021,
0, bpnnCPU, 19456, 8628,
1, adjust_weights, 19456, 1092030
T, ,19456, ,4940147
1, layerforward, 20480, 739135,
0, bpnnCPU, 20480, 8706,
1, adjust_weights, 20480, 1071800
T, ,20480, ,4959649
1, layerforward, 21504, 734830,
0, bpnnCPU, 21504, 8842,
1, adjust_weights, 21504, 1066687
T, ,21504, ,5038302
1, layerforward, 22528, 720997,
0, bpnnCPU, 22528, 9002,
1, adjust_weights, 22528, 1060433
T, ,22528, ,5067143
1, layerforward, 23552, 710386,
0, bpnnCPU, 23552, 11354,
1, adjust_weights, 23552, 550549
T, ,23552, ,4622236
1, layerforward, 24576, 690164,
0, bpnnCPU, 24576, 28616,
1, adjust_weights, 24576, 1021213
T, ,24576, ,5115449
1, layerforward, 25600, 684707,
0, bpnnCPU, 25600, 8982,
1, adjust_weights, 25600, 1007736
T, ,25600, ,5229420
1, layerforward, 26624, 650685,
0, bpnnCPU, 26624, 9053,
1, adjust_weights, 26624, 985581
T, ,26624, ,5208978
1, layerforward, 27648, 678914,
0, bpnnCPU, 27648, 9086,
1, adjust_weights, 27648, 944214
T, ,27648, ,5253192
1, layerforward, 28672, 675306,
0, bpnnCPU, 28672, 9057,
1, adjust_weights, 28672, 945867
T, ,28672, ,5300506
1, layerforward, 29696, 643095,
0, bpnnCPU, 29696, 6960,
1, adjust_weights, 29696, 931565
T, ,29696, ,5347383
1, layerforward, 30720, 651191,
0, bpnnCPU, 30720, 28646,
1, adjust_weights, 30720, 912946
T, ,30720, ,5432886
1, layerforward, 31744, 647354,
0, bpnnCPU, 31744, 11580,
1, adjust_weights, 31744, 895399
T, ,31744, ,5425544
1, layerforward, 32768, 625874,
0, bpnnCPU, 32768, 9531,
1, adjust_weights, 32768, 859971
T, ,32768, ,5488560
1, layerforward, 33792, 611190,
0, bpnnCPU, 33792, 9557,
1, adjust_weights, 33792, 1548378
T, ,33792, ,6193245
1, layerforward, 34816, 622133,
0, bpnnCPU, 34816, 8729,
1, adjust_weights, 34816, 847924
T, ,34816, ,5576895
1, layerforward, 35840, 561597,
0, bpnnCPU, 35840, 8675,
1, adjust_weights, 35840, 845651
T, ,35840, ,5607971
1, layerforward, 36864, 577166,
0, bpnnCPU, 36864, 9769,
1, adjust_weights, 36864, 820590
T, ,36864, ,5648299
1, layerforward, 37888, 527640,
0, bpnnCPU, 37888, 11822,
1, adjust_weights, 37888, 799589
T, ,37888, ,5584801
1, layerforward, 38912, 524229,
0, bpnnCPU, 38912, 8771,
1, adjust_weights, 38912, 779500
T, ,38912, ,5639392
1, layerforward, 39936, 529813,
0, bpnnCPU, 39936, 9303,
1, adjust_weights, 39936, 712275
T, ,39936, ,5670452
1, layerforward, 40960, 521571,
0, bpnnCPU, 40960, 9409,
1, adjust_weights, 40960, 721763
T, ,40960, ,5725000
1, layerforward, 41984, 507118,
0, bpnnCPU, 41984, 11558,
1, adjust_weights, 41984, 694145
T, ,41984, ,5095384
1, layerforward, 43008, 496714,
0, bpnnCPU, 43008, 10019,
1, adjust_weights, 43008, 678056
T, ,43008, ,5798279
1, layerforward, 44032, 373138,
0, bpnnCPU, 44032, 10214,
1, adjust_weights, 44032, 672114
T, ,44032, ,5810847
1, layerforward, 45056, 357846,
0, bpnnCPU, 45056, 10847,
1, adjust_weights, 45056, 615740
T, ,45056, ,5859350
1, layerforward, 46080, 465482,
0, bpnnCPU, 46080, 11718,
1, adjust_weights, 46080, 636857
T, ,46080, ,5882299
1, layerforward, 47104, 489689,
0, bpnnCPU, 47104, 9690,
1, adjust_weights, 47104, 647516
T, ,47104, ,5983051
1, layerforward, 48128, 465973,
0, bpnnCPU, 48128, 8920,
1, adjust_weights, 48128, 1244450
T, ,48128, ,6628948
