1, layerforward, 8192, 2327129,
0, bpnnCPU, 8192, 9377,
1, adjust_weights, 8192, 3436222
T, ,8192, ,5778248
1, layerforward, 9216, 2357057,
0, bpnnCPU, 9216, 9492,
1, adjust_weights, 9216, 3460480
T, ,9216, ,5833034
1, layerforward, 10240, 2347626,
0, bpnnCPU, 10240, 11271,
1, adjust_weights, 10240, 3505275
T, ,10240, ,5869535
1, layerforward, 11264, 2362320,
0, bpnnCPU, 11264, 7039,
1, adjust_weights, 11264, 3504416
T, ,11264, ,5879329
1, layerforward, 12288, 2368070,
0, bpnnCPU, 12288, 9226,
1, adjust_weights, 12288, 3531511
T, ,12288, ,5915497
1, layerforward, 13312, 2368756,
0, bpnnCPU, 13312, 9036,
1, adjust_weights, 13312, 3561888
T, ,13312, ,5945577
1, layerforward, 14336, 2380167,
0, bpnnCPU, 14336, 8994,
1, adjust_weights, 14336, 3587065
T, ,14336, ,5982136
1, layerforward, 15360, 2351863,
0, bpnnCPU, 15360, 8356,
1, adjust_weights, 15360, 3595197
T, ,15360, ,5961346
1, layerforward, 16384, 919022,
0, bpnnCPU, 16384, 8763,
1, adjust_weights, 16384, 3805308
T, ,16384, ,4738355
1, layerforward, 17408, 1043038,
0, bpnnCPU, 17408, 8846,
1, adjust_weights, 17408, 3685788
T, ,17408, ,4743345
1, layerforward, 18432, 1068384,
0, bpnnCPU, 18432, 12499,
1, adjust_weights, 18432, 3673955
T, ,18432, ,4800893
1, layerforward, 19456, 602985,
0, bpnnCPU, 19456, 6635,
1, adjust_weights, 19456, 3777801
T, ,19456, ,4394035
1, layerforward, 20480, 1066989,
0, bpnnCPU, 20480, 10468,
1, adjust_weights, 20480, 3775806
T, ,20480, ,4858973
1, layerforward, 21504, 780753,
0, bpnnCPU, 21504, 6651,
1, adjust_weights, 21504, 3838567
T, ,21504, ,4631847
1, layerforward, 22528, 1083902,
0, bpnnCPU, 22528, 11476,
1, adjust_weights, 22528, 3842566
T, ,22528, ,4943554
1, layerforward, 23552, 1085714,
0, bpnnCPU, 23552, 9196,
1, adjust_weights, 23552, 3887928
T, ,23552, ,4992380
1, layerforward, 24576, 1086654,
0, bpnnCPU, 24576, 9258,
1, adjust_weights, 24576, 3902617
T, ,24576, ,5005342
1, layerforward, 25600, 1106319,
0, bpnnCPU, 25600, 9043,
1, adjust_weights, 25600, 3960819
T, ,25600, ,5081798
1, layerforward, 26624, 1106725,
0, bpnnCPU, 26624, 11359,
1, adjust_weights, 26624, 3979018
T, ,26624, ,5103370
1, layerforward, 27648, 1111208,
0, bpnnCPU, 27648, 9264,
1, adjust_weights, 27648, 4050025
T, ,27648, ,5176629
1, layerforward, 28672, 1116514,
0, bpnnCPU, 28672, 9033,
1, adjust_weights, 28672, 4026645
T, ,28672, ,5158078
1, layerforward, 29696, 1122832,
0, bpnnCPU, 29696, 9421,
1, adjust_weights, 29696, 4101209
T, ,29696, ,5239429
1, layerforward, 30720, 852962,
0, bpnnCPU, 30720, 9442,
1, adjust_weights, 30720, 4107220
T, ,30720, ,4975651
1, layerforward, 31744, 1130284,
0, bpnnCPU, 31744, 9202,
1, adjust_weights, 31744, 4175527
T, ,31744, ,5321076
1, layerforward, 32768, 1136450,
0, bpnnCPU, 32768, 8824,
1, adjust_weights, 32768, 4203589
T, ,32768, ,5355355
1, layerforward, 33792, 1144904,
0, bpnnCPU, 33792, 9128,
1, adjust_weights, 33792, 4236568
T, ,33792, ,5397876
1, layerforward, 34816, 1146375,
0, bpnnCPU, 34816, 9264,
1, adjust_weights, 34816, 4276225
T, ,34816, ,5438180
1, layerforward, 35840, 1151533,
0, bpnnCPU, 35840, 11584,
1, adjust_weights, 35840, 4258539
T, ,35840, ,5427673
1, layerforward, 36864, 1145291,
0, bpnnCPU, 36864, 9671,
1, adjust_weights, 36864, 4326081
T, ,36864, ,5487239
1, layerforward, 37888, 1169919,
0, bpnnCPU, 37888, 6602,
1, adjust_weights, 37888, 4346301
T, ,37888, ,5528620
1, layerforward, 38912, 1162404,
0, bpnnCPU, 38912, 8985,
1, adjust_weights, 38912, 4393404
T, ,38912, ,5571224
1, layerforward, 39936, 1188117,
0, bpnnCPU, 39936, 9613,
1, adjust_weights, 39936, 4369858
T, ,39936, ,5575025
1, layerforward, 40960, 1156837,
0, bpnnCPU, 40960, 9570,
1, adjust_weights, 40960, 4445440
T, ,40960, ,5618342
1, layerforward, 41984, 1179754,
0, bpnnCPU, 41984, 12081,
1, adjust_weights, 41984, 4418892
T, ,41984, ,5617550
1, layerforward, 43008, 1185887,
0, bpnnCPU, 43008, 8994,
1, adjust_weights, 43008, 4537928
T, ,43008, ,5739187
1, layerforward, 44032, 1191172,
0, bpnnCPU, 44032, 11564,
1, adjust_weights, 44032, 4505105
T, ,44032, ,5714255
1, layerforward, 45056, 1143078,
0, bpnnCPU, 45056, 9155,
1, adjust_weights, 45056, 4520340
T, ,45056, ,5678708
1, layerforward, 46080, 1211452,
0, bpnnCPU, 46080, 9640,
1, adjust_weights, 46080, 4554131
T, ,46080, ,5781850
1, layerforward, 47104, 1213913,
0, bpnnCPU, 47104, 9876,
1, adjust_weights, 47104, 4594584
T, ,47104, ,5824144
1, layerforward, 48128, 1205337,
0, bpnnCPU, 48128, 9981,
1, adjust_weights, 48128, 4608809
T, ,48128, ,5830467
1, layerforward, 49152, 1227064,
0, bpnnCPU, 49152, 9576,
1, adjust_weights, 49152, 4651258
T, ,49152, ,5895230
1, layerforward, 50176, 2274155,
0, bpnnCPU, 50176, 9502,
1, adjust_weights, 50176, 4745102
T, ,50176, ,7035318
1, layerforward, 51200, 1237026,
0, bpnnCPU, 51200, 9349,
1, adjust_weights, 51200, 5801039
T, ,51200, ,7054201
1, layerforward, 52224, 1240576,
0, bpnnCPU, 52224, 9278,
1, adjust_weights, 52224, 5255097
T, ,52224, ,6511643
1, layerforward, 53248, 1243504,
0, bpnnCPU, 53248, 9608,
1, adjust_weights, 53248, 4899476
T, ,53248, ,6159127
1, layerforward, 54272, 1254403,
0, bpnnCPU, 54272, 9770,
1, adjust_weights, 54272, 4831249
T, ,54272, ,6102887
1, layerforward, 55296, 1275369,
0, bpnnCPU, 55296, 9158,
1, adjust_weights, 55296, 5366304
T, ,55296, ,6657794
1, layerforward, 56320, 1259607,
0, bpnnCPU, 56320, 6934,
1, adjust_weights, 56320, 5421314
T, ,56320, ,6694185
1, layerforward, 57344, 1773112,
0, bpnnCPU, 57344, 10387,
1, adjust_weights, 57344, 6089345
T, ,57344, ,7879540
1, layerforward, 58368, 1762552,
0, bpnnCPU, 58368, 10138,
1, adjust_weights, 58368, 6150924
T, ,58368, ,7933633
1, layerforward, 59392, 1823266,
0, bpnnCPU, 59392, 11427,
1, adjust_weights, 59392, 6205839
T, ,59392, ,8047042
1, layerforward, 60416, 1823826,
0, bpnnCPU, 60416, 9863,
1, adjust_weights, 60416, 6208634
T, ,60416, ,8050511
1, layerforward, 61440, 1849544,
0, bpnnCPU, 61440, 7183,
1, adjust_weights, 61440, 6236820
T, ,61440, ,8100883
1, layerforward, 62464, 2258030,
0, bpnnCPU, 62464, 9287,
1, adjust_weights, 62464, 6270120
T, ,62464, ,8544879
1, layerforward, 63488, 2045265,
0, bpnnCPU, 63488, 10127,
1, adjust_weights, 63488, 6294277
T, ,63488, ,8356456
1, layerforward, 64512, 2523755,
0, bpnnCPU, 64512, 9001,
1, adjust_weights, 64512, 6336462
T, ,64512, ,8876777
1, layerforward, 65536, 2443317,
0, bpnnCPU, 65536, 8983,
1, adjust_weights, 65536, 6562003
T, ,65536, ,9021852
