1, layerforward, 8192, 2406053,
0, bpnnCPU, 8192, 6423,
1, adjust_weights, 8192, 3496648
T, ,8192, ,5914554
1, layerforward, 9216, 2402956,
0, bpnnCPU, 9216, 10971,
1, adjust_weights, 9216, 3518785
T, ,9216, ,5938255
1, layerforward, 10240, 1695290,
0, bpnnCPU, 10240, 9029,
1, adjust_weights, 10240, 3539464
T, ,10240, ,5249030
1, layerforward, 11264, 2420493,
0, bpnnCPU, 11264, 8814,
1, adjust_weights, 11264, 3569953
T, ,11264, ,6004865
1, layerforward, 12288, 2429212,
0, bpnnCPU, 12288, 8740,
1, adjust_weights, 12288, 3603271
T, ,12288, ,6047529
1, layerforward, 13312, 2430144,
0, bpnnCPU, 13312, 10619,
1, adjust_weights, 13312, 3611896
T, ,13312, ,6058323
1, layerforward, 14336, 2431258,
0, bpnnCPU, 14336, 8544,
1, adjust_weights, 14336, 3651677
T, ,14336, ,6096967
1, layerforward, 15360, 2428139,
0, bpnnCPU, 15360, 9233,
1, adjust_weights, 15360, 3713780
T, ,15360, ,6156513
1, layerforward, 16384, 936759,
0, bpnnCPU, 16384, 8718,
1, adjust_weights, 16384, 3876437
T, ,16384, ,4827633
1, layerforward, 17408, 1083522,
0, bpnnCPU, 17408, 9696,
1, adjust_weights, 17408, 3762189
T, ,17408, ,4864417
1, layerforward, 18432, 1100679,
0, bpnnCPU, 18432, 9960,
1, adjust_weights, 18432, 3766404
T, ,18432, ,4882507
1, layerforward, 19456, 1097943,
0, bpnnCPU, 19456, 9288,
1, adjust_weights, 19456, 3826257
T, ,19456, ,4939454
1, layerforward, 20480, 1089608,
0, bpnnCPU, 20480, 8960,
1, adjust_weights, 20480, 3464488
T, ,20480, ,4569156
1, layerforward, 21504, 1108968,
0, bpnnCPU, 21504, 9139,
1, adjust_weights, 21504, 3889275
T, ,21504, ,5013103
1, layerforward, 22528, 1113585,
0, bpnnCPU, 22528, 6827,
1, adjust_weights, 22528, 3916584
T, ,22528, ,5042717
1, layerforward, 23552, 1117998,
0, bpnnCPU, 23552, 9731,
1, adjust_weights, 23552, 3960433
T, ,23552, ,5093773
1, layerforward, 24576, 1114041,
0, bpnnCPU, 24576, 8684,
1, adjust_weights, 24576, 3980605
T, ,24576, ,5108958
1, layerforward, 25600, 1123013,
0, bpnnCPU, 25600, 6715,
1, adjust_weights, 25600, 4036022
T, ,25600, ,5171665
1, layerforward, 26624, 1136335,
0, bpnnCPU, 26624, 8799,
1, adjust_weights, 26624, 4072455
T, ,26624, ,5223814
1, layerforward, 27648, 1127462,
0, bpnnCPU, 27648, 9578,
1, adjust_weights, 27648, 3418155
T, ,27648, ,4561143
1, layerforward, 28672, 1146435,
0, bpnnCPU, 28672, 9218,
1, adjust_weights, 28672, 4109528
T, ,28672, ,5270944
1, layerforward, 29696, 1147697,
0, bpnnCPU, 29696, 9617,
1, adjust_weights, 29696, 3674300
T, ,29696, ,4837756
1, layerforward, 30720, 1111015,
0, bpnnCPU, 30720, 9458,
1, adjust_weights, 30720, 4196956
T, ,30720, ,5323262
1, layerforward, 31744, 1169595,
0, bpnnCPU, 31744, 9335,
1, adjust_weights, 31744, 4890812
T, ,31744, ,6075844
1, layerforward, 32768, 1166062,
0, bpnnCPU, 32768, 8985,
1, adjust_weights, 32768, 4294755
T, ,32768, ,5475831
1, layerforward, 33792, 1164300,
0, bpnnCPU, 33792, 11574,
1, adjust_weights, 33792, 4246592
T, ,33792, ,5428590
1, layerforward, 34816, 1180356,
0, bpnnCPU, 34816, 9241,
1, adjust_weights, 34816, 4362990
T, ,34816, ,5559061
1, layerforward, 35840, 1189510,
0, bpnnCPU, 35840, 11643,
1, adjust_weights, 35840, 4300423
T, ,35840, ,5507834
1, layerforward, 36864, 1167575,
0, bpnnCPU, 36864, 9469,
1, adjust_weights, 36864, 4355494
T, ,36864, ,5538694
1, layerforward, 37888, 1226895,
0, bpnnCPU, 37888, 9042,
1, adjust_weights, 37888, 4438463
T, ,37888, ,5681138
1, layerforward, 38912, 2091067,
0, bpnnCPU, 38912, 10455,
1, adjust_weights, 38912, 4476337
T, ,38912, ,6584022
1, layerforward, 39936, 1169931,
0, bpnnCPU, 39936, 9160,
1, adjust_weights, 39936, 4498102
T, ,39936, ,5684448
1, layerforward, 40960, 1195525,
0, bpnnCPU, 40960, 9316,
1, adjust_weights, 40960, 4476760
T, ,40960, ,5688250
1, layerforward, 41984, 1280565,
0, bpnnCPU, 41984, 9520,
1, adjust_weights, 41984, 5248536
T, ,41984, ,6545200
1, layerforward, 43008, 1213970,
0, bpnnCPU, 43008, 9310,
1, adjust_weights, 43008, 4532895
T, ,43008, ,5762223
1, layerforward, 44032, 1269087,
0, bpnnCPU, 44032, 8883,
1, adjust_weights, 44032, 4590997
T, ,44032, ,5876594
1, layerforward, 45056, 1231831,
0, bpnnCPU, 45056, 9221,
1, adjust_weights, 45056, 4606773
T, ,45056, ,5855298
1, layerforward, 46080, 1242486,
0, bpnnCPU, 46080, 9911,
1, adjust_weights, 46080, 4645562
T, ,46080, ,5904980
1, layerforward, 47104, 1245500,
0, bpnnCPU, 47104, 9721,
1, adjust_weights, 47104, 5213305
T, ,47104, ,6475139
1, layerforward, 48128, 1246937,
0, bpnnCPU, 48128, 9205,
1, adjust_weights, 48128, 4066732
T, ,48128, ,5329550
1, layerforward, 49152, 1273859,
0, bpnnCPU, 49152, 9196,
1, adjust_weights, 49152, 4740546
T, ,49152, ,6029958
1, layerforward, 50176, 1251064,
0, bpnnCPU, 50176, 9626,
1, adjust_weights, 50176, 4755505
T, ,50176, ,6022791
1, layerforward, 51200, 3817843,
0, bpnnCPU, 51200, 9842,
1, adjust_weights, 51200, 8642476
T, ,51200, ,12476587
1, layerforward, 52224, 1279943,
0, bpnnCPU, 52224, 9396,
1, adjust_weights, 52224, 4847217
T, ,52224, ,6143313
1, layerforward, 53248, 1311457,
0, bpnnCPU, 53248, 12046,
1, adjust_weights, 53248, 4831002
T, ,53248, ,6160891
1, layerforward, 54272, 1283729,
0, bpnnCPU, 54272, 10088,
1, adjust_weights, 54272, 4887659
T, ,54272, ,6189736
1, layerforward, 55296, 1306558,
0, bpnnCPU, 55296, 9981,
1, adjust_weights, 55296, 4635808
T, ,55296, ,5962510
1, layerforward, 56320, 1292732,
0, bpnnCPU, 56320, 9391,
1, adjust_weights, 56320, 5455766
T, ,56320, ,6764938
1, layerforward, 57344, 1308350,
0, bpnnCPU, 57344, 9318,
1, adjust_weights, 57344, 5505173
T, ,57344, ,6830028
1, layerforward, 58368, 1329350,
0, bpnnCPU, 58368, 11438,
1, adjust_weights, 58368, 5927174
T, ,58368, ,7274388
1, layerforward, 59392, 1309487,
0, bpnnCPU, 59392, 9066,
1, adjust_weights, 59392, 6223859
T, ,59392, ,7549067
1, layerforward, 60416, 1926437,
0, bpnnCPU, 60416, 9638,
1, adjust_weights, 60416, 6300215
T, ,60416, ,8243086
1, layerforward, 61440, 1921411,
0, bpnnCPU, 61440, 9223,
1, adjust_weights, 61440, 6321897
T, ,61440, ,8259498
1, layerforward, 62464, 2025893,
0, bpnnCPU, 62464, 9316,
1, adjust_weights, 62464, 6401385
T, ,62464, ,8443925
1, layerforward, 63488, 1937009,
0, bpnnCPU, 63488, 9579,
1, adjust_weights, 63488, 5631218
T, ,63488, ,7585410
1, layerforward, 64512, 2472525,
0, bpnnCPU, 64512, 9417,
1, adjust_weights, 64512, 6461540
T, ,64512, ,8950852
1, layerforward, 65536, 2493840,
0, bpnnCPU, 65536, 9931,
1, adjust_weights, 65536, 6587256
T, ,65536, ,9098127
